열차 방송,승객 여러분께 안내 말씀 드립니다. 잠시 후 이번 역은——
소프,"저거 봐, 지휘관! 저기 건X같이 생긴 거, 알고 보니 씨앗 발사기래!"
소프,이런 기계를 농사짓는 데만 쓰는 건 너무 아깝지 않아? 저걸 타고 전장을 누비면서 적들을 뻥뻥 차버리면 진짜 끝내줄 텐데!
소프,"저것도 봐! 세상에, 저 구조는 대체 어떻게 설계한 거지? 베어링이 버틸 수 있나? 당장 뜯어서 확인해보고 싶어!"
소프,지휘관...
지휘관,부장님이라고 불러.
나레이션,(소프는 메롱 하고 혀를 내밀더니 내 팔을 붙잡고 흔들어댔다.)
소프,부장님~ 나 전시회 좀 구경하고 오면 안 돼? 아주 잠깐이면 되는데!
지휘관,안 돼. 공급업체 여러 군데를 방문해야 해. 넌 내 부관이니까 같이 다니면서 미팅 일정을 조율해줘야지.
지휘관,어제 준 스케줄표 확인했지?
소프,당연히 봤지! 이 정도쯤이야 식은 죽 먹기라구.
소프,어디 보자…… 첫 번째는 칼라일 베커 씨네. 5번 전시장 접견실이야.
소프,"5번 전시장, 5번 전시장…… 아, 찾았다! 부장님, 이쪽이에요!"
나레이션,(소프의 손에 이끌려 회의실에 도착해 자리에 앉자마자 문이 열렸다. 들어온 사람은……)
나레이션,"(상대를 본 순간 나랑 소프 둘 다 멍해졌지만, 나는 얼른 정신을 차리고 비즈니스용 미소를 지어 보였다.)"
지휘관,"만나서 반갑습니다, 마이크 존스 씨. 귀사의 제품은 평소 눈여겨보고 있었습니다……"
나레이션,"(상대와 가벼운 인사를 나누고 자리에 앉은 뒤, 나는 여전히 멍하니 있는 소프에게 귓속말을 했다.)"
지휘관,자료 꺼내. 마이크 존스 씨 거야.
소프,아…… 오오!
나레이션,(소프는 그제야 허둥지둥 서류 뭉치를 뒤적거리기 시작했다.)
존스,"실례지만, 바로 시작해도 될까요? 10분 뒤에 다른 회의가 있어서요."
지휘관,잠시만 기다려 주십시오. 제 비서가 곧 관련 자료를 준비해 드릴 겁니다.
나레이션,（……）
나레이션,(다행히 회의는 별 탈 없이 마무리되었다.)
소프,"이상하네, 서류 순서가 왜 이렇게 엉망이지……"
나레이션,"(존스 씨가 나간 후, 소프는 서류 더미를 안고 스케줄표와 대조해 보았다.)"
지휘관,포스트잇을 붙여두면 찾기 편할 거야.
소프,"포, 포스트잇요?"
나레이션,(머리가 좀 멍했지만 정신을 바짝 차려야 했다. 아직 만나야 할 업체들이 한참 남았으니까.)
지휘관,색깔 있는 거 있잖아. 길쭉한 종이. 서류 사이에 끼워두는 거.
소프,"오오…… 근데 그런 문구류를 어디서 받는지도 모르고, 써본 적도 없어서……"
지휘관,그럼 물어봤어야지!
나레이션,(말을 뱉고 나서 나조차 깜짝 놀랐다.)
나레이션,"(내 목소리에 짜증이 섞여 있다는 걸 느꼈지만, 멈출 수가 없었다.)"
지휘관,나한테 묻든 로벨라한테 묻든 했어야지. 잘 모르는 일이면 왜 물어보지도 않은 거야?
소프,"……지휘관, 화났어?"
나레이션,(고개를 돌리니 소프가 버림받은 강아지 같은 표정으로 나를 올려다보고 있었다.)
나레이션,(나는 크게 숨을 들이마시며 수면 부족으로 인한 짜증을 억눌렀다.)
지휘관,화난 거 아니야. 그냥 다음 업무에 차질이 생기지 않았으면 해서 그래.
지휘관,"소프, 다음은 누구지? 자료 미리 줘."
소프,음…… 앨리스 스미스 씨야.
소프,"자료, 자료 어디 있더라……"
나레이션,"(회의실 밖은 소프가 좋아하는 신기한 물건들로 가득한 박람회장인데, 회의실 안의 소프는 내 앞에서 쩔쩔매며 서류를 뒤지고 있었다.)"
나레이션,(그녀의 얼굴엔 긴장과 초조함이 서려 있었다. 전장에서도 본 적 없는 낯선 표정이었다.)
나레이션,(전장에서의 소프는 언제나 자신감이 넘쳤으니까.)
지휘관,"……미안해, 소프."
소프,에엣?
지휘관,방금 내가 너무 예민했어. 이런 일은 처음 해보는 걸 텐데……
소프,지휘관...
나레이션,(소프의 눈이 반짝이더니 말투가 확 바뀌었다.)
소프,아~ 진짜! 내 말이 그 말이야! 처음 해보는 일인데 못 하는 게 당연하잖아!
소프,지휘관 표정이 갑자기 확 차가워지길래 얼마나 놀랐다구! 나 미워하게 된 줄 알았잖아……
지휘관,……내가 널 왜 미워하겠어.
소프,그럼...
지휘관,곧 다음 미팅 시작이야. 지금은 수다 떨 시간이 없을 것 같네.
소프,"아, 오오! 잠깐만 지휘관, 내가 지금 바로——"
지휘관,"됐어, 소프. 사실 나 어제오늘 미팅 관련 자료는 거의 다 외웠거든."
소프,다 외웠어? 전부 다?
소프,"지휘관, 뇌가 무슨 블랙홀이야? 어떻게 그 많은 걸 다 흡수해?"
지휘관,"블랙홀이라니, 비유가 너무 심하잖아."
지휘관,"아무튼 나 혼자서도 괜찮으니까, 소프 너는 가서 전시장 구경이나 하고 와."
나레이션,(소프가 믿기지 않는다는 듯 눈을 크게 떴다.)
소프,"진짜야, 지휘관!? 그렇게 말하면 나 진짜 간다? 뒤도 안 돌아보고 갈 거야!?"
나레이션,(나는 웃으며 손을 흔들어주었다.)
지휘관,진짜야. 마음 바뀌기 전에 얼른 가.
지휘관,빨리 다녀와.
소프,와아~ 신난다! 역시 지휘관이 최고야!
나레이션,"(긴장했던 기색은 온데간데없이, 소프는 즐겁게 달려들어 나를 껴안고는 턱 밑에 머리를 부벼댔다. 마치 산책 허락을 받은 강아지 같았다.)"
지휘관,"알았으니까…… 소프, 이제 손님 오실 시간이야."
소프,응! 나 지금 갈게!
나레이션,(말을 마치자마자 소프는 내 볼에 쪽 소리가 나게 뽀뽀를 했다.)
나레이션,(반응할 틈도 없이 그녀는 고삐 풀린 사냥개처럼 회의실을 뛰쳐나갔다.)
나레이션,(문밖에서 다음 미팅을 위해 기다리던 공급업체 관계자가 고개를 슥 내밀었다.)
공급상,방금 그 인형인가요? 참 활기차네요.
지휘관,......
나레이션,(나는 소프가 닿았던 자리를 어루만지며 미소 지었다.)
지휘관,"네, 제 인형입니다. 워낙 저런 성격이라…… 실례했습니다."
지휘관,"그럼, 시작해볼까요?"
