앨바,보이마스티나!
클루카이,지휘관... 전자 시스템이 제어가 안 돼요!
클루카이,"건물의 모든 출입구가 닫히고 있어요, 긴급 모드가 작동한 것 같아요!"
클루카이,지금 단말기로 전송한 경로밖에 탈출할 방법이 없어요!
지휘관,알았어.
지휘관,"앨바, 탈출 경로 확인해!"
지휘관,"그로자, 추격해 오는 놈들을 저지해!"
앨바 & 그로자,알겠습니다!
나레이션,"(클루카이가 전송한 지도에, 성문은 이미 굳게 닫혔다. 응접실의 반대편으로 나가 바깥뜰을 가로질러, 첨탑의 나선 계단을 내려가야만 한다.)"
나레이션,"(앞에서는 앨바와 페리티아가 장애물을 제거하고, 보이마스티나가 봉쇄된 철문을 걷어차 부순 덕분에, 우리는 비좁은 응접실을 신속히 빠져나와 넓다란 바깥뜰로 나올 수 있었다.)"
나레이션,"(뒤에서는 그로자 소대가 밀려드는 패러데우스 인형들을 필사적으로 저지했지만, 여전히 끈질기게 쫓아왔다.)"
나레이션,"(무심한 그들의 얼굴에는 짙은 살의가 감돌아서, 네메시스와 생김새가 똑같은데도 전혀 다른 인상이었다.)"
나레이션,(이 인형들... 대체 정체가 뭐지?)
나레이션,"(무사히 돌아가면, 네메시스에게 물어봐야 할 것 같다. 혹시 기억나는 게 있는지.)"
나레이션,"(...돌아갈 수, 있겠지?)"
나레이션,타탕!
나레이션,"(격렬한 심장의 박동을, 손에서 총성을 터뜨려 감추었다. 그중 한 발이 적의 머리를 관통해, 처음 나타났을 때부터 만신창이던 놈은 뒤로 고꾸라져 10m가 넘는 담장 너머로 추락했다.)"
페리티아,"지휘관님, 이쪽이에요!"
나레이션,"(탑의 꼭대기에서, 그곳을 지키고 있던 인형 2명은 리벨리온의 공세를 버티지 못하고 순식간에 무력화됐다.)"
클루카이,서둘러요! 이쪽 셔터도 곧 닫혀요!
클루카이,1분 남았어요!
지휘관,"놈들이랑 실랑이 벌이지 말고, 일단 탑으로 들어가! 셔터가 닫혀!"
나레이션,"(내부의 안전부터 확인한 뒤, 나는 멜라니를 계단으로 들여보내고 나도 몸을 낮춰 안으로 기어 들어갔다.)"
나레이션,"(탑은 공기 중에 오래된 먼지와 차가운 벽돌의 냄새가 감돌았고, 나선 계단은 좁고 가파랐다.)"
나레이션,"(이곳은 방어 시설인 만큼, 벽이 두텁고 견고했다. 발밑의 석조 계단도 오랫동안 수리되지 않았음에도 여전히 모두의 무게를 견디기에는 충분했다.)"
나레이션,"(단지 이상하리만치 미끄러워서, 한 발 내디딜 때마다 작은 돌멩이가 계단을 따라 탑의 저 아래로 굴러떨어졌다.)"
지휘관,계단이 미끄러우니까 다들 조심해!
멜라니,앗――꺄아아악!!
콜펜,멜라니!
나레이션,"(콜펜이 황급히 손을 뻗었지만, 허공만 갈랐다.)"
나레이션,"(부서진 돌조각들과 함께, 멜라니가 그만 아래로 추락했다.)"
지휘관,젠장... 멜라니!
나레이션,"(하지만 우려한 일은 벌어지지 않았다. 통신기에서, 안도리스의 목소리가 우리를 안심시켰다.)"
안도리스,"괜찮아, 멜라니 내가 받았어!"
지휘관,"휴우... 잘했어, 안도리스! 우선 멜라니부터 안전한 곳으로 데려가!"
안도리스,응. 그런데...
안도리스,잠깐... 이건――
클루카이,안도리스! 당장 거기서 떨어져!
안도리스,...!!!
나레이션,끼이이이...
나레이션,콰앙!
나레이션,(발밑에서 금속이 충돌하는 엄청난 굉음이 났다.)
지휘관,안도리스! 멜라니!
지휘관,무슨 일이야?!
지휘관,다들 괜찮아!?
나레이션,지지직——
안도리스,콜록콜록... 우리는 무사해...
안도리스,"그런데, 문제가 생겼어... 우리가 강제 해킹하는 바람에, 보안 시스템이 작동해서 내부 회로가 완전히 폐쇄돼 버렸어. 열쇠나 보안 권한이 직접 해제하지 않는 한 다시 해킹하는 수밖에 없는데, 그럼 시간이..."
안도리스,"게다가, 이 시스템 때문에 탑 아래쪽의 셔터에서 작은 폭발이 났어."
안도리스,지금 그 문은... 돌무더기에 막혀버렸고...
지휘관,――?!
클루카이,그럼... 폭파도 불가능하잖아...!
안도리스,아무래도 그런 것 같아...
나레이션,"(이 고대 건축물의 방어 시설로서, 탑은 창문들이 손 하나 간신히 내밀 수 있을 만큼 좁다랗고, 출입구는 위아래로 이어지는 2개뿐이었다.)"
나레이션,(그런데 아래쪽 출구가 막혔다는 것은...)
나레이션,"(우리 모두, 이 견고한 탑 안에 갇혀버렸음을 의미했다.)"
클루카이,제길... 손으로 잔해를 치우는 수밖에 없겠어!
클루카이,"기다리세요 지휘관, 얼른 해결할 테니까요!"
나레이션,（……）
나레이션,（……）
나레이션,(“사태는 침묵할 여유조차 없을 만큼 긴박해졌어.”)
나레이션,"(“그러니, 누군가가 나서야만 해.”)"
나레이션,(“그래야만 각본이 계속해서 앞으로 나아갈 수 있으니까.”)
나레이션,"(“우리 모두, 이 이야기의 결말을 알고 있어. 하지만, 여기까지 걸어온 과정에는 희생과 피, 그리고 눈물이 있었지.”)"
네메시스,.............
네메시스,"...껍데기, 뛰는 심장을 감싸지 못하고..."
네메시스,"날카로운 파편이, 꿈의 기억을 투영한다..."
그로자,네메시스?
페리티아,"앗... 안 돼요, 네메시스!"
캐롤릭,"응? 야, 너 지금 뭐하는 거야?! 뭐야, 놔, 이거 놓으――"
네메시스,Abolesco.
나레이션,콰앙!
나레이션,"(네메시스가 함께 밖에 남아있던 마지막 인원인 캐롤릭을 탑 안으로 밀어넣자마자, 문이 쾅 하며 닫혔다.)"
나레이션,"삐빅, 삐삐삐――"
나레이션,"(그리고 보안 시스템의 회로 폐쇄로 인해 꺼졌던 폭약이, 다시 가동했다.)"
나레이션,(이게 어찌 된 영문일까.)
나레이션,(당장 묻고 싶은 질문이 너무나도 많았다.)
나레이션,"(하지만 돌아오는 대답이라곤, 일대를 뒤덮는 막대한 진동과 귀를 찢는 폭음뿐이었다.)"
