???,흠~흐흠~♪♪♪
유희,"아니 아니, 그런 게 아니야. 그 춤은 아직 완성도 안 된 상태였고... 그냥 우연히 지휘관한테 들킨 거야..."
유희,"글론 무용단을 따라다니며 여기저기에서 공연을 하다 보니까, 관객들이 매 공연마다 보이는 반응을 지켜보면서 서서히 한 가지를 깨닫게 됐어."
유희,"춤의 표현이라는 건, 내가 혼자 연습실에 틀어박혀 짜낸 생각을 그냥 일방적으로 관객에게 밀어붙이는 게 아니야."
유희,"그런 건 내 춤을 봐주는 사람을 진심으로 존중하는 게 아니야. 춤을 만들 때 정말 중요한 건, 관객을 제대로 이해하고 관객의 시점에서 느끼는 거야."
나레이션,"(나는 턱을 살짝 문지르며 생각에 잠겼다. 이해하고, 느끼는 것이라...)"
지휘관,아... 그래서 네가...
유희,"응... 지휘관한테 위성도시 가자고 한 것도, 스파크 공연 같이 보자고 한 것도 다, 지휘관이 춤을 볼 때 어떤 반응을 보이는지 가까이에서 지켜보려고 했던 거야. 지휘관이 어떤 표현 방식에 더 쉽게 공감하는지도 알고 싶었고."
유희,"내가 만들고 싶은 건, 오직 지휘관만을 위해 추는, 지휘관에게만 바치는, 유일무이한 춤이야..."
유희,"하지만 진전이 너무 느려서, 엘모호에 돌아온 지도 이렇게 오래됐는데도 아직... 게다가 그때 보여준 춤, 미완성이긴 했지만... 지휘관 반응을 보니까 역시 내 마음이 제대로 전해지진 않았던 것 같았어..."
유희,방향성이 틀린 걸까...
나레이션,(유희는 고개를 숙이고 미간을 잔뜩 찌푸렸다.)
나레이션,"(그랬던 거구나, 유희는 예나 지금이나 한 가지에만 몰두하고 있었다.)"
지휘관,유희야.
유희,음?
지휘관,"나도 예전엔 무슨 일이든 완벽하게 해내고 싶었어. 하지만 동시에 그것 때문에 오히려 스스로를 괴롭히고 힘들게 만들었지. 그래도 지금은, 그런 나 자신과 화해했어."
지휘관,아쉬움은 항상 있기 마련이야.
지휘관,"비록 내가 춤을 잘 몰라서, 네 춤을 보고도 제대로 이해하지 못할 수도 있지만, 그래도 믿어줬으면 좋겠어. 네가 내게 전하고 싶은 마음을 최선을 다해 느껴보려고 노력할게."
유희,뭐? 하지만...
나레이션,"(유희는 살짝 망설이며 고개를 숙였지만, 잔뜩 찌푸렸던 미간은 조금씩 풀리는 듯했다.)"
나레이션,"(이 기세를 타서 더 설득하려던 순간, 지휘실의 문이 갑자기 열렸다.)"
나레이션,(메이링은 당황하며 달려왔다.)
메이링,지휘관님~ 제 보드게임 소품 못 보셨나요?
지휘관,응? 무슨 소품?
메이링,"며칠 전에 우리 같이 지휘실에서 보드게임할 때 썼던 소품 말이에요. 지금 수오미랑 놀려고 하는데, 아무리 찾아도 안 보여서요."
메이링,"그래서 혹시 여기 두고 갔나 싶어서 와봤어요. 양면이 똑같은 동전인데, 못 보셨나요?"
유희,양면이 똑같은 동전?
지휘관,"메이링, 쉬잇!"
메이링,응?
유희,응? 그거 설마아...?
나레이션,(상황을 눈치챈 유희가 볼을 잔뜩 부풀린 채 내게 다가왔다.)
유희,지휘과안!!
