354,"(그로부터 얼마 지나지 않은 어느 오후, 나는 지휘실로 향했다.)"
나레이션,"(지프 반대편에서는 센타우레이시가 호스를 들고, 잔잔한 물줄기로 바닥을 정성스레 닦고 있었다.)"
메이링,"스프링필드 씨, 갑자기 웬 세차를?"
메이링,"이 차들, 옐로우존에서 돌아다녀서 열심히 세차해도 어차피 금방 다시 더러워지는데요!"
스프링필드,"아, 메이링 씨... 발 조심하세요. 바닥이 좀 미끄러울 수 있거든요."
지휘관,쉴 때는 제대로 쉬는 게 좋아.
지휘관,메이링 말이 맞아. 이 차들은 전부 오염지대의 모래바람 속을 달리잖아.
지휘관,조금만 돌아다녀도 금세 다시 흙투성이가 될 텐데.
스프링필드,맞아요. 그냥 잠깐 의미 없는 일을 좀 하고 있을 뿐이에요.
스프링필드,"하지만 저는 무슨 일이든 정성을 들여서 한다면, 의미 없는 일은 없다고 생각한답니다."
나레이션,"(나는 스프링필드를 보며 웃음을 지은 뒤, 다시 지프를 바라보았다. 처음부터 노란색이었던 것처럼 느껴졌던 이 지프가 새 차처럼 보이는 게 도대체 얼마만이지?)"
나레이션,"(메이링 말에 동의하면서도, 아직 물기가 남아 반짝이는 지프를 바라보니 왠지 모르게 기분이 좋아졌다.)"
스프링필드,"두 분, 저를 찾아오신 건가요?"
지휘관,아... 깜빡할 뻔했네.
지휘관,카페에 대해서 메이링이랑 상의를 좀 했거든.
나레이션,"(스프링필드는 깨끗한 수건으로 손을 닦은 뒤, 우리가 건넨 태블릿을 받아들고 조용히 살펴보기 시작했다.)"
나레이션,(혹시 예산을 너무 적게 책정한 건 아닐까 싶어 나도 모르게 살짝 미안한 마음이 들었다.)
나레이션,"(그런데 예상과 달리, 화면을 훑어본 스프링필드는 특유의 미소를 지으며 태블릿을 나에게 되돌려주었다.)"
스프링필드,"공용 구역에 장소를 마련해주신 것은 정말 중요해요. 감사합니다, 지휘관님."
스프링필드,"다만, 예산은..."
지휘관,만약 부족하면 내가 어떻게든 해볼게.
스프링필드,"아뇨, 그런 게 아니랍니다."
나레이션,(스프링필드는 고개를 저었다.)
스프링필드,"애초에 제 개인적인 생각에서 시작된 일이니까, 지휘관님이나 엘모호에 부담을 드릴 순 없죠."
스프링필드,그러니 걱정하지 않으셔도 돼요. 제가 알아서 처리할게요.
지휘관,음?
나레이션,(나는 조금 놀랐다.)
지휘관,카페를 만드는 비용을 네가 전부 부담하겠다는 거야?
스프링필드,"지휘관님, 왜 그렇게 놀라세요?"
스프링필드,"처음부터 제가 하고 싶어서 제안한 일이니까, 제가 부담하는 게 당연한 것 아닐까요?"
지휘관,뭐? 하지만...
나레이션,"(물론 스프링필드가 먼저 제안한 일이긴 하지만, 카페가 완성되면 결국 엘모호 전체가 사용하게 될 테니 조금은 망설여졌다.)"
나레이션,(더구나 스프링필드가 엘모호 사람들에게 돈을 받을 리가 없었다. 오히려 그렇게 한다면 내가 더 안심이 됐겠지만.)
나레이션,"(하지만 그녀는 스프링필드였고, 나는 그녀를 너무나도 잘 알고 있었다.)"
나레이션,"(...그래서 스프링필드가 마음을 정했다면, 특히 이런 일일수록 나조차 쉽게 그 결정을 바꾸기 어렵다는 것도 잘 알고 있었다.)"
지휘관,"...그래, 알았어."
지휘관,하지만 네가 모든 걸 혼자 떠안으려고 하지 않았으면 좋겠어.
지휘관,"아직 나를 믿는다면, 주저하지 말고 도와달라고 해줘. 내가 할 수 있는 건 뭐든지 할 테니까."
스프링필드,......
나레이션,(스프링필드는 마치 내가 이런 말을 할 걸 이미 다 알고 있었다는 듯 눈을 깜빡이며 뒷짐을 졌다.)
나레이션,(그녀의 얼굴에는 음모라도 성공한 듯한 장난기 어린 미소가 번졌다.)
스프링필드,"...그런가요, 지휘관님? 정말로 뭐든... 다 해주실 건가요?"
나레이션,(성숙함의 상징인 스프링필드는 수많은 인형들 사이에서도 유독 잊히지 않을 매력을 가지고 있었다.)
나레이션,"(그런 그녀가 몸을 살짝 앞으로 기울인 채, 마치 소녀처럼 고개를 들어 나와 눈을 맞추며 미소 짓는 모습에, 나는 스프링필드에게서 평소에는 느끼지 못했던 다른 매력을 느꼈다.)"
지휘관,...물론이지. 뭐든 괜찮아.
나레이션,"(...부끄럽지만, 그 순간 나는 마치 스프링필드에게 마음을 꿰뚫린 듯한 기분이 들어 당황하고 있다는 것을 인정할 수밖에 없었다.)"
나레이션,(나는 애써 침착함을 유지하려고 가볍게 기침을 했다.)
나레이션,"(멍하니 서 있던 메이링도 우리 사이에 흐르는 묘한 분위기를 눈치챈 듯, 눈만 깜빡이며 조용히 지켜보고 있었다. 솔직히 말해, 메이링이 이 어색한 분위기를 깨줬으면 했다.)"
스프링필드,......
나레이션,(스프링필드는 허리를 다시 펴고 나와 눈을 맞췄다. 그러던 중 그녀의 시선이 뭔가를 발견한 듯 나에게 손을 뻗었다.)
나레이션,"(나는 반사적으로 그 손을 피하려고 했지만, 스프링필드의 손길에서는 벗어날 수 없었다.)"
나레이션,(그녀는 내 셔츠 깃을 정돈해 주었다.)
스프링필드,"그러면 앞으로 시간을 내서 저와 외출해주실 수 있나요, 지휘관님?"
지휘관,"윽... 아... 그, 당, 당연하지."
나레이션,(나는 지난 10년 동안 제법 침착해졌다고 스스로 생각했다.)
나레이션,(하지만 스프링필드 앞에서는 내가 전혀 변하지 않은 것만 같았다.)
스프링필드,감사합니다.
나레이션,(그녀는 미소를 지으며 손으로 내 가슴을 살며시 쓸었다. 그제서야 나는 무전기를 고정하는 밴드가 삐뚤어져 있는 것을 알아챘다.)
스프링필드,정말 기대되네.
